title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Manipulate Object Properties with C# in Unity,Beginner,Coursera Project Network,,4.9,,,,object composition color space object-z c sharp (programming language) object value restful objects distance transform c++ histogram of oriented gradients color balance computer-science software-development,coursera
Palliative Care Capstone Projects,Intermediate,University of Colorado System,,5.0,,,,nonverbal communication health care self-awareness advance care planning experience appetite intrapersonal communication project symptoms pain management life-sciences patient-care,coursera
Interactive Word Embeddings using Word2Vec and Plotly,Beginner,Coursera Project Network,,4.8,,,,Natural Language Processing recommender systems Word2vec Similarity Measure matrices modeling Machine Learning interactivity Word Embedding Plotly data-science machine-learning,coursera
Electric Industry Operations and Markets,Beginner,Duke University,,4.7,,,,pricing Electrical Engineering generation Operations Management Energy Markets market (economics) renewable energy electricity pricing energy Marketing physical-science-and-engineering environmental-science-and-sustainability,coursera
Strategic Planning and Execution,Intermediate,University of Virginia,,4.7,,,,analytics Business Strategy strategy implementation strategic management strategic planning technology strategy Strategy Strategic Analysis Planning analysis business business-strategy,coursera
Change Leadership: Developing Strategic Gap Analysis in Miro,Advanced,Coursera Project Network,,4.9,,,,Mapping business case project personal advertisement leadership Leadership and Management Change Management Writing Average Planning business business-strategy,coursera
Internet of Things Capstone V2: Build a Mobile Surveillance System,Advanced,University of California San Diego,,4.8,,,,internet Planning ordered pair ip camera exit (system call) Billing Workstations internet of things materials project physical-science-and-engineering electrical-engineering,coursera
Responsive Website Tutorial and Examples,Advanced,University of London,,4.3,,,,Web Development Web Design Databases meteor mongodb web application wordpress Collaboration responsive web design html computer-science mobile-and-web-development,coursera
Entrepreneurial Strategic Management,Beginner,University of New Mexico,,4.5,,,,ordered pair Entrepreneurship public administration business administration Leadership and Management measurement Influencing Strategy strategic management Business Strategy business entrepreneurship,coursera
Personality Types at Work,Intermediate,University of Florida,,4.4,,,,personality personality development personality tests supervision Emotional Intelligence development of personality leadership personality test coaching Leadership and Management personal-development personal-development,coursera
Overview of Advanced Methods of Reinforcement Learning in Finance,Advanced,New York University,,3.2,,,,classical mechanics financial modeling competition (economics) modeling Reinforcement Learning Finance market (economics) valuation of options options strategies mathematical finance computer-science algorithms,coursera
Process Improvement: a Kaizen Event with Google Slides,Beginner,Coursera Project Network,,4.6,,,,business process Process Mapping six sigma process management Project Management Process Improvement analysis Kaizen process Map business business-strategy,coursera
Sales Force Management,Advanced,West Virginia University,,4.6,,,,job analysis sales management Leadership and Management Training Programs Customer Relationship Management Recruiting Sales Salesforce Recruitment Training business leadership-and-management,coursera
Performing Data Aggregation using SQL Aggregate Functions,Intermediate,Coursera Project Network,,4.8,,,,ascendency join (sql) Mathematics SQL aggregate function data aggregation information retrieval euler's totient function relative change and difference Databases data-science data-analysis,coursera
Ecosystem Services: a Method for Sustainable Development,Intermediate,University of Geneva,,4.7,,,,biodiversity Environmental Protection climate change ecosystem case study sustainability ecosystems remote sensing ecosystem services the economics of ecosystems and biodiversity physical-science-and-engineering environmental-science-and-sustainability,coursera
Using TensorFlow with Amazon Sagemaker,Beginner,Coursera Project Network,,4.7,,,,Tensorflow Algorithms statistical classification Deep Learning Machine Learning Keras Estimator Artificial Neural Networks euler's totient function Natural Language Processing data-science machine-learning,coursera
